"","lag","log(R/S)","x1","fit","se.fit"
"132","Lag 4",-1.18528913107473,128761060.659092,-1.10827449060768,0.349833341146947
"142","Lag 4",-2.26162535904143,195045854.722321,-1.99630956835855,0.43769171107032
"152","Lag 4",-1.39664063267217,110919151.422448,-0.760801308055996,0.312693659546544
"162","Lag 4",0.247483115339687,46510175.8463052,0.829795583040936,0.196943465840177
"172","Lag 4",0.344628040574174,45589286.0041211,0.855523707624519,0.196733398807317
"182","Lag 4",0.6243193773221,58504936.3810873,0.500556871329776,0.206075614330595
"192","Lag 4",1.28374905833978,24233064.5335102,1.46478275466049,0.213647261261983
"202","Lag 4",3.17840247789341,10340943.0259429,1.86795016435336,0.244439198948289
"213","Lag 4",3.10745173428179,7073452.91491944,1.96293711561985,0.253340336599815
"222","Lag 4",2.3835700232343,11355299.4838168,1.83846527525068,0.241787165369888
"232","Lag 4",2.64410782444868,14240433.1672069,1.75461839523608,0.234555953835989
"242","Lag 4",2.53409061399714,16336903.6129355,1.69371758616637,0.229610487172256
"252","Lag 4",1.78369106306725,13930597.5410474,1.76362109075104,0.235309509357686
"262","Lag 4",1.02240976622577,31857574.7007964,1.24503720026706,0.202874065825162
"272","Lag 4",0.642065772197159,20812285.1302063,1.56384753965389,0.220013357732392
"282","Lag 4",0.492625384134839,46456429.5054771,0.831295569200645,0.196929132063647
"292","Lag 4",0.977644207915891,47825323.6892607,0.793154604741016,0.197373444935197
"302","Lag 4",1.7222183049379,38093529.7297871,1.06692235876674,0.197910508328041
"313","Lag 4",0.610270973695071,49940500.1749251,0.734485920010031,0.198378338030675
"322","Lag 4",0.658426262448366,36259952.2488488,1.11910902732579,0.198995749319138
"332","Lag 4",1.47250378767561,23811007.0470487,1.47699302153747,0.214384277860628
"342","Lag 4",0.911735560569316,16134877.9452361,1.69958495913347,0.230075147331497
"352","Lag 4",0.935179877455975,17930125.2702104,1.6474584685707,0.226038498158088
"362","Lag 4",1.07893471178051,31599773.9300566,1.2524362308331,0.203156002267492
"372","Lag 4",1.24318683255749,73072785.0000193,0.118184646917154,0.229485864568033
"382","Lag 4",1.21846911617402,56325707.2503527,0.559495205441003,0.203604163469634
